timestamp,tail,owner,airport,airport_name,leg
2024-02-04,N628TS,Elon Musk,LGB,Long Beach Airport,departure
2024-02-04,N628TS,Elon Musk,LAX,Los Angeles International Airport,arrival
2024-02-03,N628TS,Elon Musk,AUS,Austin International Airport,departure
2024-02-03,N628TS,Elon Musk,LGB,Long Beach Airport,arrival
2024-02-01,N628TS,Elon Musk,SJC,San Jose International Airport,departure
2024-02-01,N628TS,Elon Musk,AUS,Austin International Airport,arrival
2024-01-30,N628TS,Elon Musk,AUS,Austin International Airport,departure
2024-01-30,N628TS,Elon Musk,SJC,San Jose International Airport,arrival
2024-01-26,N628TS,Elon Musk,LAX,Los Angeles International Airport,departure
2024-01-26,N628TS,Elon Musk,AUS,Austin International Airport,arrival
2024-01-25,N628TS,Elon Musk,SJC,San Jose International Airport,departure
2024-01-25,N628TS,Elon Musk,LAX,Los Angeles International Airport,arrival
2024-01-23,N628TS,Elon Musk,AUS,Austin International Airport,departure
2024-01-23,N628TS,Elon Musk,SJC,San Jose International Airport,arrival
2024-01-23,N628TS,Elon Musk,KRK,Balice Jp Ii International Airport,departure
2024-01-23,N628TS,Elon Musk,AUS,Austin International Airport,arrival
2024-01-21,N628TS,Elon Musk,LTN,Luton Airport,departure
2024-01-21,N628TS,Elon Musk,KRK,Balice Jp Ii International Airport,arrival
2024-01-20,N628TS,Elon Musk,AUS,Austin International Airport,departure
2024-01-20,N628TS,Elon Musk,LTN,Luton Airport,arrival
2024-01-16,N628TS,Elon Musk,JAC,Jackson Hole Airport,departure
2024-01-16,N628TS,Elon Musk,AUS,Austin International Airport,arrival
2024-01-16,N628TS,Elon Musk,SLC,Salt Lake City International Airport,departure
2024-01-16,N628TS,Elon Musk,JAC,Jackson Hole Airport,arrival
2024-01-15,N628TS,Elon Musk,JAC,Jackson Hole Airport,departure
2024-01-15,N628TS,Elon Musk,SLC,Salt Lake City International Airport,arrival
2024-01-15,N628TS,Elon Musk,AUS,Austin International Airport,departure
2024-01-15,N628TS,Elon Musk,JAC,Jackson Hole Airport,arrival
2024-01-12,N628TS,Elon Musk,BRO,Brownsville South Padre Island International Airport,departure
2024-01-12,N628TS,Elon Musk,AUS,Austin International Airport,arrival
2024-01-11,N628TS,Elon Musk,AUS,Austin International Airport,departure
2024-01-11,N628TS,Elon Musk,BRO,Brownsville South Padre Island International Airport,arrival
